Date,Season,Team_Arna-Bjørnar,Team_Avaldsnes,Team_Fart,Team_Grand Bodø,Team_IF Fløya,Team_Klepp,Team_Kolbotn,Team_LSK Kvinner,Team_Lyn,Team_Medkila,Team_Røa,Team_Sandviken,Team_Stabæk,Team_Trondheims-Ørn,Team_Vålerenga,Opponent_Arna-Bjørnar,Opponent_Avaldsnes,Opponent_Fart,Opponent_Grand Bodø,Opponent_IF Fløya,Opponent_Klepp,Opponent_Kolbotn,Opponent_LSK Kvinner,Opponent_Lyn,Opponent_Medkila,Opponent_Røa,Opponent_Sandviken,Opponent_Stabæk,Opponent_Trondheims-Ørn,Opponent_Vålerenga,Venue_Away,Venue_Home,Game # in season,Avg. Historical Score Diff,Team's goals per 90 min last season,Opponent's goals per 90 min last season,Team's Avg. Age,Opponent's Avg. Age,Top 5 Team,Top 5 Opponent,y1: Team Score,y2: Opponent Score
2017-06-03,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.0,-0.2857142857142857,1.6401515151515151,1.6401515151515151,24.4,25.2,0,0,0.0,0.0
2017-06-03,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11.0,-0.7142857142857143,1.6401515151515151,1.6401515151515151,25.2,25.0,0,0,0.0,1.0
2017-06-03,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10.0,1.5,1.6401515151515151,1.6401515151515151,24.4,20.1,0,0,0.0,0.0
2017-06-03,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10.0,-1.5,1.6401515151515151,1.6401515151515151,20.1,24.4,0,0,1.0,0.0
2017-06-04,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10.0,-1.0,1.6401515151515151,1.6401515151515151,25.0,25.3,0,0,3.0,3.0
2017-06-04,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,-0.8333333333333334,1.6401515151515151,1.6401515151515151,25.3,24.4,0,0,3.0,3.0
2017-06-04,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11.0,0.5714285714285714,1.6401515151515151,1.6401515151515151,24.4,21.9,0,0,1.0,6.0
2017-06-04,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11.0,2.3333333333333335,1.6401515151515151,1.6401515151515151,25.3,25.2,0,0,1.0,5.0
2017-06-04,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0,1.8571428571428572,1.6401515151515151,1.6401515151515151,25.3,25.3,0,0,5.0,1.0
2017-06-04,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10.0,-1.0,1.6401515151515151,1.6401515151515151,22.9,25.0,0,0,6.0,1.0
